Unnamed: 0,name,year,selling_price,km_driven,transmission,owner,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,car_age,brand_name,avg_km_per_year,brand_popularity,price_per_km,age_group,usage_group,popularity_group
0,Maruti 800 AC,2007.0,60000.0,70000.0,1,0,False,False,False,True,True,False,17.0,Maruti,4117.64705882353,989,0.8571428571428571,Old (13+),Low Usage,Popular
1,Maruti Wagon R LXI Minor,2007.0,504355.83229527104,50000.0,1,0,False,False,False,True,True,False,17.0,Maruti,2941.176470588235,989,10.087116645905422,Old (13+),Low Usage,Popular
2,Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,1,0,True,False,False,False,True,False,12.0,Hyundai,8333.333333333334,573,6.0,Mature (8-12),Low Usage,Popular
3,Datsun RediGO T Option,2017.0,250000.0,46000.0,1,0,False,False,False,True,True,False,7.0,Datsun,6571.428571428572,27,5.434782608695652,Recent (4-7),Low Usage,Rare
4,Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,1,2,True,False,False,False,True,False,10.0,Honda,14100.0,187,3.1914893617021276,Mature (8-12),Medium Usage,Popular
5,Maruti Alto LX BSIII,2007.0,140000.0,125000.0,1,0,False,False,False,True,True,False,17.0,Maruti,7352.941176470588,989,1.12,Old (13+),Low Usage,Popular
6,Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,1,0,False,False,False,True,True,False,8.0,Hyundai,3125.0,573,22.0,Mature (8-12),Low Usage,Popular
7,Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,1,2,False,False,False,True,True,False,10.0,Tata,6000.0,286,4.0,Mature (8-12),Low Usage,Popular
8,Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,1,0,False,False,False,True,True,False,9.0,Hyundai,2777.777777777778,573,34.0,Mature (8-12),Low Usage,Popular
9,Maruti Celerio Green VXI,2017.0,365000.0,78000.0,1,0,False,False,False,False,True,False,7.0,Maruti,11142.857142857143,989,4.67948717948718,Recent (4-7),Medium Usage,Popular
