,name,year,selling_price,km_driven,transmission,owner,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer
0,Maruti 800 AC,2007.0,60000.0,70000.0,1,0,False,False,False,True,True,False
1,Maruti Wagon R LXI Minor,2007.0,504355.83229527104,50000.0,1,0,False,False,False,True,True,False
2,Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,1,0,True,False,False,False,True,False
3,Datsun RediGO T Option,2017.0,250000.0,46000.0,1,0,False,False,False,True,True,False
4,Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,1,2,True,False,False,False,True,False
5,Maruti Alto LX BSIII,2007.0,140000.0,125000.0,1,0,False,False,False,True,True,False
6,Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,1,0,False,False,False,True,True,False
7,Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,1,2,False,False,False,True,True,False
8,Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,1,0,False,False,False,True,True,False
9,Maruti Celerio Green VXI,2017.0,365000.0,78000.0,1,0,False,False,False,False,True,False
10,Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,1,0,False,False,False,True,True,False
11,Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,1,0,False,False,False,True,True,False
12,Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,0,0,False,False,False,True,False,False
13,Maruti Wagon R LXI Minor,2007.0,135000.0,50000.0,1,0,False,False,False,True,True,False
14,Tata Indigo Grand Petrol,2014.0,240000.0,66227.79100346021,1,2,False,False,False,True,True,False
15,Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,1,0,False,False,False,True,False,False
16,Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,1,0,True,False,False,False,False,False
17,Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,390000.0,33000.0,1,2,True,False,False,False,True,False
18,Jaguar XF 2.2 Litre Luxury,2014.0,1964999.0,28000.0,0,0,True,False,False,False,False,False
19,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,0,0,True,False,False,False,False,False
20,Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,0,0,True,False,False,False,False,False
21,Audi Q5 2.0 TDI,2011.0,1190000.0,175900.0,0,0,True,False,False,False,False,False
22,Honda City V MT,2018.0,930000.0,14500.0,1,0,False,False,False,True,False,False
23,Tata Tigor 1.2 Revotron XT,2018.0,525000.0,15000.0,1,0,False,False,False,True,True,False
24,Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,0,0,True,False,False,False,False,False
25,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,0,2,True,False,False,False,False,False
26,Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,130400.0,0,2,True,False,False,False,False,False
27,Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,0,0,False,False,False,True,True,False
28,Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,1,0,True,False,False,False,True,False
29,Jeep Compass 1.4 Sport Plus BSIV,2019.0,1400000.0,10000.0,1,0,False,False,False,True,True,False
30,Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,0,0,False,False,False,True,False,False
31,Hyundai i10 Magna 1.1L,2014.0,229999.0,60000.0,1,1,False,False,False,True,True,False
32,BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,0,2,True,False,False,False,False,False
33,Audi Q7 35 TDI Quattro Premium,2013.092020295203,1250000.0,78000.0,0,4,True,False,False,False,False,False
34,Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,1,0,True,False,False,False,True,False
35,Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,1,0,True,False,False,False,True,False
36,Honda City i DTEC V,2014.0,560000.0,74000.0,1,2,True,False,False,False,True,False
37,Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,1,2,False,False,False,True,True,False
